Timestamp,Module,Message Class (Log Level),Function,Message,Application state,Queue,Thread ID,App,File,Line
" 2022-06-28T12:03:22.032+0300 ",CTXMAMCoreFramework,WARNING (3),-[CTXMAMDataStorage getAttributes],"ConfigManagerPerAppVault.com.microsoft.msedge: Failed to get vault attributes. Error: Error Domain=Citrix Code=-25300 "The item cannot be found." UserInfo={NSLocalizedDescription=The item cannot be found.}",-,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/DataStorage/CTXMAMDataStorage.m,1166
" 2022-06-28T12:03:22.032+0300 ",CTXMAMCoreFramework,WARNING (3),-[CTXMAMDataStorage p_migrateDataFromOldVaultIfRequiredWithError:],"getDataFromKeychainWithError failed with error = Error Domain=CTXMAMDataStorageError Code=90005 "An error occurred on one of the underlying systems." UserInfo={NSLocalizedDescription=An error occurred on one of the underlying systems., NSUnderlyingError=0x281261b00 {Error Domain=Citrix Code=-25300 "The item cannot be found." UserInfo={NSLocalizedDescription=The item cannot be found.}}}, will try to migrate data from old vault.",-,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/DataStorage/CTXMAMDataStorage.m,1012
" 2022-06-28T12:03:22.033+0300 ",CTXMAMCoreFramework,ERROR (2),-[CTXMAMDataStorage p_getVaultDataWithError:],"Unable to get any data from legacy vault, error = Error Domain=Citrix Code=-25300 "The item cannot be found." UserInfo={NSLocalizedDescription=The item cannot be found.}",-,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/DataStorage/CTXMAMDataStorage.m,1116
" 2022-06-28T12:03:22.033+0300 ",CTXMAMCoreFramework,ERROR (2),-[CTXMAMDataStorage p_getDataFromKeychainWithAccessAttrAndError:],"ConfigManagerPerAppVault.com.microsoft.msedge: Unable to get data from keychain, error = Error Domain=Citrix Code=-25300 "The item cannot be found." UserInfo={NSLocalizedDescription=The item cannot be found.}",-,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/DataStorage/CTXMAMDataStorage.m,740
" 2022-06-28T12:03:22.033+0300 ",CTXMAMCoreFramework,WARNING (3),-[CTXMAMDataStorage getAttributes],"ConfigManagerPerAppVault.com.microsoft.msedge: Failed to get vault attributes. Error: Error Domain=Citrix Code=-25300 "The item cannot be found." UserInfo={NSLocalizedDescription=The item cannot be found.}",-,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/DataStorage/CTXMAMDataStorage.m,1166
" 2022-06-28T12:03:22.033+0300 ",CTXMAMCoreFramework,WARNING (3),-[CTXMAMDataStorage p_initializeStorageData:],"There was a problem trying to getDataFromKeychainWithError, error = Error Domain=CTXMAMDataStorageError Code=90005 "An error occurred on one of the underlying systems." UserInfo={NSLocalizedDescription=An error occurred on one of the underlying systems., NSUnderlyingError=0x281262010 {Error Domain=Citrix Code=-25300 "The item cannot be found." UserInfo={NSLocalizedDescription=The item cannot be found.}}}",-,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/DataStorage/CTXMAMDataStorage.m,604
" 2022-06-28T12:03:22.033+0300 ",CTXMAMCoreFramework,ERROR (2),-[CTXMAMConfigManager initializeSharedStorageWithName:andStorageType:andPolicyMode:andAllowBackgroundAccess:],"Failed to initialize storage ConfigManagerPerAppVault.com.microsoft.msedge with error 90005",-,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/CTXMAMConfigurationManager/CTXMAMConfigManager.m,203
" 2022-06-28T12:03:22.033+0300 ",CTXMAMCoreFramework,INFO (4),-[CTXMAMDataStorage deleteStorage]_block_invoke,"Deleting ConfigManagerPerAppVault.com.microsoft.msedge.",-,com.citrix.mamsdk.ConfigManagerPerAppVault.com.microsoft.msedge,103,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/DataStorage/CTXMAMDataStorage.m,508
" 2022-06-28T12:03:22.034+0300 ",CTXMAMCoreFramework,WARNING (3),-[CTXMAMDataStorage p_deleteKeychainDataForHashedName:],"ConfigManagerPerAppVault.com.microsoft.msedge: Unable to delete data. BackgroundAccessError = Error Domain=Citrix Code=-25300 "The item cannot be found." UserInfo={NSLocalizedDescription=The item cannot be found.}; NoBackgroundAccessError = Error Domain=Citrix Code=-25300 "The item cannot be found." UserInfo={NSLocalizedDescription=The item cannot be found.}",-,com.citrix.mamsdk.ConfigManagerPerAppVault.com.microsoft.msedge,103,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/DataStorage/CTXMAMDataStorage.m,867
" 2022-06-28T12:03:22.035+0300 ",CTXMAMCoreFramework,INFO (4),-[CTXMAMDataStorage p_migrateDataFromOldVaultIfRequiredWithError:],"We have data in the keychain with the new name, so migration has already occurred. Returning NO since no migration has occured.",-,com.apple.main-thread,103,Edge,/Users/jenkins/jenkins/workspace/iossdk_ctxmamcore_Release_22.1.0/CTXMAMCore/DataStorage/CTXMAMDataStorage.m,1000
